PropertyID,Borough,State,Surroundings,Address,ZipCode,Block,Lot,BldgClassCategory,NoOfResidentialUnits,NoOfCommercialUnits,TotalNoOfUnits,LandAreaInSqFt,GrossAreaInSqFt,YearOfConstruction,TaxClass_AtEvaluationTime,BldgClass_AtEvaluationTime,DateOfEvaluation,PropertyEvaluationvalue
PR11181,3,NY,NEW DORP,110 9TH STREET,10306,4218,43,02 TWO FAMILY DWELLINGS,2,0,2,3700,1900,2001,1,B2,20-02-2015,950000
PR11182,3,NY,NEW DORP,156 8 STREET,10306,4231,30,02 TWO FAMILY DWELLINGS,2,0,2,4750,1596,1946,1,B2,19-04-2014,750000
PR11183,3,NY,NEW DORP,60 RENO AVENUE,10306,4242,32,02 TWO FAMILY DWELLINGS,2,0,2,6088,2624,1961,1,B2,18-10-2014,900000
PR11184,3,NY,NEW DORP,511 CLAWSON STREET,10306,4245,68,02 TWO FAMILY DWELLINGS,2,0,2,8000,1112,1951,1,B3,12-12-2014,860000
PR11185,3,NY,NEW DORP,223 CANNON BOULEVARD,10306,4251,60,02 TWO FAMILY DWELLINGS,2,0,2,3000,1200,1989,1,B9,03-01-2015,655000
PR11186,3,NY,NEW DORP,20 ELLA PLACE,10306,4253,39,02 TWO FAMILY DWELLINGS,2,0,2,4480,2300,1961,1,B2,27-07-2014,837500
PR11187,3,NY,NEW DORP,130 JACQUES AVENUE,10306,3643,50,01 ONE FAMILY DWELLINGS,1,0,1,6000,1170,1946,1,A2,20-11-2014,810000
PR11188,3,NY,NEW DORP,286 BRYANT AVENUE,10306,3644,60,01 ONE FAMILY DWELLINGS,1,0,1,4009,1295,1941,1,A0,28-01-2015,678000
PR11189,3,NY,NEW DORP,36B FRANCINE COURT,10306,4229,1058,04 TAX CLASS 1 CONDOS,1,0,1,89120,638,1984,1,R3,25-04-2014,220000
PR11190,3,NY,NEW DORP,43 WINHAM AVENUE,10306,4041,19,02  TWO FAMILY HOMES,2,0,2,3686,2191,2012,1,B9,27-06-2013,572765
PR11191,3,NY,NEW DORP,103 WINHAM AVENUE,10306,4047,44,02  TWO FAMILY HOMES,2,0,2,5050,2538,1965,1,B1,19-10-2012,325000
PR11192,3,NY,NEW DORP,114 PRESCOTT AVENUE,10306,3606,35,02  TWO FAMILY HOMES,2,0,2,2400,2576,1978,1,B1,25-03-2013,499900
PR11193,3,NY,NEW DORP,2786 AMBOY ROAD,10306,4339,29,01 ONE FAMILY DWELLINGS,1,0,1,3640,1500,1961,1,A1,01-03-2015,550000
PR11194,3,NY,NEW DORP,166 DARTMOUTH LOOP,10306,3960,124,02 TWO FAMILY DWELLINGS,2,0,2,1820,1300,2001,1,B9,05-09-2014,668000
PR11195,3,NY,NEW DORP,211 TITUS AVENUE,10306,4051,45,02  TWO FAMILY HOMES,2,0,2,3880,1600,1960,1,B2,23-10-2012,545000
PR11196,3,NY,NEW DORP,268 EDISON STREET,10306,3639,31,01 ONE FAMILY DWELLINGS,1,0,1,4000,1120,1946,1,A2,04-10-2014,610000
PR11197,3,NY,NEW DORP,105 LINDBERGH AVENUE,10306,4246,51,01  ONE FAMILY HOMES,1,0,1,5000,1105,1950,1,A2,10-10-2012,420000
PR11198,3,NY,NEW DORP,167 RENO AVENUE,10306,4250,46,01  ONE FAMILY HOMES,1,0,1,4600,1174,1960,1,A2,03-12-2012,519200
PR11199,3,NY,NEW DORP,41 7TH STREET,10306,4215,17,02 TWO FAMILY DWELLINGS,2,0,2,6375,1385,1946,1,B3,19-10-2014,650000
PR11200,3,NY,NEW DORP,204 TITUS AVENUE,10306,4052,34,01 ONE FAMILY DWELLINGS,1,0,1,2500,1170,1966,1,A5,26-06-2014,540000
PR11201,3,NY,NEW DORP,1361-1375 NORTH RAILROAD AV,10306,3629,33,22 STORE BUILDINGS,0,7,7,17790,17022,1946,4,K1,12-12-2014,5800000
PR11202,3,NY,NEW DORP,287 BANCROFT AVENUE,10306,3616,12,01 ONE FAMILY DWELLINGS,1,0,1,6000,1236,1941,1,A1,31-07-2014,700000
PR11203,3,NY,NEW DORP,205 8 STREET,10306,4232,30,01 ONE FAMILY DWELLINGS,1,0,1,5200,960,1946,1,A2,16-08-2014,660000
PR11204,3,NY,NEW DORP,8 INA STREET,10306,4037,39,01 ONE FAMILY DWELLINGS,1,0,1,2849,1280,1995,1,A1,25-09-2014,520000
PR11205,3,NY,NEW DORP,64 BACHE AVENUE,10306,3636,78,01  ONE FAMILY HOMES,1,0,1,2000,1316,1982,1,A5,02-04-2013,420000
PR11206,3,NY,NEW DORP,17 JACQUES AVENUE,10306,3636,34,02 TWO FAMILY DWELLINGS,2,0,2,5529,3320,1956,1,B2,30-01-2015,870000
PR11207,3,NY,NEW DORP,80 CODDINGTON AVENUE,10306,4222,42,01  ONE FAMILY HOMES,1,0,1,4000,2399,1945,1,A1,06-03-2013,722957
PR11208,3,NY,NEW DORP,230 MILL ROAD,10306,4051,113,01 ONE FAMILY DWELLINGS,1,0,1,3549,960,1956,1,A2,26-11-2014,325000
PR11209,3,NY,NEW DORP,2675 HYLAN BLVD,10306,4247,1,01 ONE FAMILY DWELLINGS,1,1,2,5550,3000,1977,1,S1,01-10-2014,750000
PR11210,3,NY,NEW DORP,171 CANNON BLVD,10306,4249,46,01 ONE FAMILY DWELLINGS,1,0,1,4000,1040,1956,1,A2,26-09-2014,562500
PR11211,3,NY,NEW DORP,147 LOCUST AVENUE,10306,3633,29,01 ONE FAMILY DWELLINGS,1,0,1,2640,1568,1956,1,A1,08-05-2014,564000
PR11212,3,NY,NEW DORP,77 EVA AVENUE,10306,4058,304,01  ONE FAMILY HOMES,1,0,1,3999,1873,1960,1,A2,25-10-2012,450000
PR11213,3,NY,NEW DORP,185 JACQUES AVENUE,10306,3648,16,02 TWO FAMILY DWELLINGS,2,0,2,6000,1500,1941,1,B2,29-11-2014,540000
PR11214,3,NY,NEW DORP,115 LINDBERGH AVENUE,10306,4246,46,01 ONE FAMILY DWELLINGS,1,0,1,2000,1200,1991,1,A5,16-07-2014,525000
PR11215,3,NY,NEW DORP,166 BEACH AVENUE,10306,4231,22,01  ONE FAMILY HOMES,1,0,1,5320,1350,1950,1,A2,09-01-2013,330000
PR11216,3,NY,NEW DORP,40 EBBITTS STREET,10306,4052,39,01 ONE FAMILY DWELLINGS,1,0,1,4750,960,1956,1,A2,25-04-2014,560000
PR11217,3,NY,NEW DORP,23 STEELE AVENUE,10306,3625,35,02  TWO FAMILY HOMES,2,0,2,3750,2838,2006,1,B2,06-08-2012,632500
PR11218,3,NY,NEW DORP,153 NEW DORP LANE,10306,3637,26,22  STORE BUILDINGS,4,3,7,15100,6742,1947,4,K4,21-12-2012,1225000
PR11219,3,NY,NEW DORP,277 BRYANT AVENUE,10306,3617,18,01  ONE FAMILY HOMES,1,0,1,4000,952,1955,1,A2,11-03-2013,320000
PR11220,3,NY,GRANT CITY,156 STOBE AVENUE,10306,3556,66,01 ONE FAMILY DWELLINGS,1,0,1,2625,1200,1956,1,A9,13-11-2014,575000
PR11221,3,NY,GRANT CITY,135 HULL AVENUE,10306,3557,11,01 ONE FAMILY DWELLINGS,1,0,1,4500,720,1951,1,A2,03-10-2014,316000
PR11222,3,NY,GRANT CITY,23 DONGAN HILLS AVENUE,10306,3531,52,01 ONE FAMILY DWELLINGS,1,0,1,4000,900,1946,1,A2,07-01-2015,445000
PR11223,3,NY,GRANT CITY,58 BEDFORD AVENUE,10306,3579,16,02  TWO FAMILY HOMES,2,0,2,9750,2144,1950,1,B1,14-06-2013,565000
PR11224,3,NY,GRANT CITY,234 STOBE AVENUE,10306,3559,69,01 ONE FAMILY DWELLINGS,1,0,1,2100,1825,1993,1,A5,15-11-2014,542017
PR11225,3,NY,GRANT CITY,49 HUNTER AVENUE,10306,3563,17,02 TWO FAMILY DWELLINGS,2,0,2,4000,1824,1951,1,B2,06-11-2014,850000
PR11226,3,NY,GRANT CITY,142 STOBE AVENUE,10306,3556,58,01 ONE FAMILY DWELLINGS,1,0,1,2625,1200,1956,1,A9,19-09-2014,560000
PR11227,3,NY,GRANT CITY,204 STOBE AVENUE,10306,3559,56,01  ONE FAMILY HOMES,1,0,1,2875,1680,1960,1,A9,07-09-2012,342000
PR11228,3,NY,GRANT CITY,175 LIBERTY AVENUE,10305,3343,80,01  ONE FAMILY HOMES,1,0,1,2500,2311,1997,1,A5,01-07-2013,485000
PR11229,3,NY,GRANT CITY,174 STOBE AVENUE,10306,3559,41,01 ONE FAMILY DWELLINGS,1,0,1,2968,1332,1966,1,A9,24-01-2015,555000
PR11230,3,NY,GRANT CITY,115 HUNTER AVENUE,10306,3568,3,01 ONE FAMILY DWELLINGS,1,0,1,4000,1400,1971,1,A1,30-10-2014,830000
PR11231,3,NY,GRANT CITY,1811 RICHMOND ROAD,10306,895,45,01  ONE FAMILY HOMES,1,0,1,18607,2840,2007,1,A3,11-06-2013,685000
PR11232,3,NY,GRANT CITY,23 DONGAN HILLS AVENUE,10306,3531,52,01  ONE FAMILY HOMES,1,0,1,4000,900,1950,1,A2,05-12-2012,160000
PR11233,3,NY,GRANT CITY,105 LIBERTY AVENUE,10304,3321,48,01  ONE FAMILY HOMES,1,0,1,2000,1408,1997,1,A5,24-04-2013,425000
PR11234,3,NY,GRANT CITY,182 LINCOLN AVENUE,10306,3608,39,01  ONE FAMILY HOMES,1,0,1,5544,1464,1955,1,A0,20-06-2013,387500
PR11235,3,NY,GRANT CITY,156 JEFFERSON STREET,10304,3531,67,01 ONE FAMILY DWELLINGS,1,0,1,1185,1300,1985,1,A5,11-03-2015,499999
PR11236,3,NY,GRANT CITY,130 HAMDEN AVENUE,10306,3572,53,01 ONE FAMILY DWELLINGS,1,0,1,4000,1529,1966,1,A2,06-07-2014,640000
PR11237,3,NY,GRANT CITY,64 LISBON PLACE,10306,3581,9,01 ONE FAMILY DWELLINGS,1,0,1,3564,1700,1985,1,A5,02-05-2014,436020
PR11238,3,NY,GRANT CITY,64 LISBON PLACE,10306,3581,9,01 ONE FAMILY DWELLINGS,1,0,1,3564,1700,1985,1,A5,05-11-2014,583000
PR11239,3,NY,GRANT CITY,218 STOBE AVENUE,10306,3559,63,01 ONE FAMILY DWELLINGS,1,0,1,5750,1120,1956,1,A2,02-08-2014,470000
PR11240,3,NY,GRANT CITY,"175 ZOE STREET, 1E",10305,3543,1005,13 CONDOS - ELEVATOR APARTMENTS,1,0,1,65497,701,1982,2,R4,09-01-2015,279400
PR11241,3,NY,GRANT CITY,288 FLAGG PLACE,10304,895,9,01  ONE FAMILY HOMES,1,0,1,7140,2200,1960,1,A2,15-03-2013,595000
PR11242,3,NY,GRANT CITY,217 GREELEY AVENUE,10306,3609,7,01 ONE FAMILY DWELLINGS,1,0,1,6000,1231,1951,1,A0,03-04-2014,662500
PR11243,3,NY,GRANT CITY,175 ZOE STREET,10305,3543,1043,13 CONDOS - ELEVATOR APARTMENTS,1,0,1,65497,798,1982,2,R4,21-08-2014,299000
PR11244,3,NY,GRANT CITY,59 ZOE STREET,10305,3540,36,01  ONE FAMILY HOMES,1,0,1,2044,912,1965,1,A5,06-09-2012,307000
PR11245,3,NY,GRANT CITY,203 DONGAN HILLS AVENUE,10305,3538,200,01 ONE FAMILY DWELLINGS,1,0,1,3600,880,1956,1,A2,20-03-2015,610000
PR11246,3,NY,GRANT CITY,64 SEAVER AVENUE,10306,3535,36,01 ONE FAMILY DWELLINGS,1,0,1,2419,1312,1956,1,A5,27-11-2014,354900
PR11247,3,NY,GRANT CITY,1145 NORTH RAILROAD AVE,10306,3592,72,30 WAREHOUSES,0,1,1,1751,350,1946,4,E2,15-05-2014,261000
PR11248,3,NY,GRANT CITY,20A BUEL AVENUE,10304,3531,16,01 ONE FAMILY DWELLINGS,1,0,1,2000,1200,2000,1,A5,07-11-2014,577000
PR11249,3,NY,GRANT CITY,65 ZOE STREET,10305,3540,33,01 ONE FAMILY DWELLINGS,1,0,1,2044,912,1961,1,A5,17-09-2014,535000
PR11250,3,NY,GRANT CITY,72 GRANT PLACE,10306,3614,40,01  ONE FAMILY HOMES,1,0,1,2400,2000,2001,1,A5,29-11-2012,440000
PR11251,3,NY,GRANT CITY,204 DONGAN HILLS AVENUE,10305,3549,78,01  ONE FAMILY HOMES,1,0,1,1095,1375,1989,1,A5,22-04-2013,338000
PR11252,3,NY,GRANT CITY,10 CLETUS STREET,10305,3539,16,01 ONE FAMILY DWELLINGS,1,0,1,2323,936,1961,1,A9,24-05-2014,529000
PR11253,3,NY,GRANT CITY,125 BEDFORD AVE,10306,3572,24,01 ONE FAMILY DWELLINGS,1,0,1,5000,1056,1946,1,A2,11-10-2014,550000
PR11254,3,NY,GRANT CITY,31 HUNTER AVENUE,10306,3563,26,01 ONE FAMILY DWELLINGS,1,0,1,4000,1008,1951,1,A2,05-12-2014,410000
PR11255,3,NY,GRANT CITY,254 FLAGG PLACE,10304,895,38,01 ONE FAMILY DWELLINGS,1,0,1,9200,3360,1976,1,A3,30-05-2014,1500000
PR11256,3,NY,GRANT CITY,33 LIBERTY AVENUE,10304,3306,60,02  TWO FAMILY HOMES,2,0,2,3750,2952,2011,1,B2,29-08-2012,600000
PR11257,3,NY,GRANT CITY,224 JEFFERSON AVENUE,10306,3560,68,01 ONE FAMILY DWELLINGS,1,0,1,4783,1596,1956,1,A1,22-05-2014,690000
PR11258,3,NY,GRANT CITY,132 STOBE AVENUE,10306,3556,53,01 ONE FAMILY DWELLINGS,1,0,1,2625,1200,1956,1,A5,30-07-2014,585000
